variable,units,mean,stdev,n,group,month,year,county,station,depth
Dissolved Oxygen,percent saturation,95.415,5.229,13393,county_month_year,12,2021,Shelburne,NA,NA
Temperature,degrees Celsius,7.636,1.041,46873,county_month_year,12,2021,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,99.806,5.605,13394,county_month_year,1,2022,Shelburne,NA,NA
Temperature,degrees Celsius,4.336,1.121,46874,county_month_year,1,2022,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,98.882,6.046,12097,county_month_year,2,2022,Shelburne,NA,NA
Temperature,degrees Celsius,3.255,0.857,42337,county_month_year,2,2022,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,101.206,7.271,12089,county_month_year,3,2022,Shelburne,NA,NA
Temperature,degrees Celsius,3.964,0.507,46874,county_month_year,3,2022,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,107.273,4.666,8641,county_month_year,4,2022,Shelburne,NA,NA
Temperature,degrees Celsius,4.628,0.573,45361,county_month_year,4,2022,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,112.548,4.817,7888,county_month_year,5,2022,Shelburne,NA,NA
Temperature,degrees Celsius,6.26,0.969,46059,county_month_year,5,2022,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,115.418,3.335,4320,county_month_year,6,2022,Shelburne,NA,NA
Temperature,degrees Celsius,7.451,1.743,36001,county_month_year,6,2022,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,115.5,4.059,876,county_month_year,7,2022,Shelburne,NA,NA
Temperature,degrees Celsius,6.973,1.323,37201,county_month_year,7,2022,Shelburne,NA,NA
Temperature,degrees Celsius,6.951,1.144,12279,county_month_year,8,2022,Shelburne,NA,NA
Temperature,degrees Celsius,17.435,0.817,2930,county_month_year,9,2016,Victoria,NA,NA
Temperature,degrees Celsius,14.038,1.938,6696,county_month_year,10,2016,Victoria,NA,NA
Temperature,degrees Celsius,10.179,1.088,6480,county_month_year,11,2016,Victoria,NA,NA
Temperature,degrees Celsius,5.493,1.818,6696,county_month_year,12,2016,Victoria,NA,NA
Temperature,degrees Celsius,2.128,0.853,6696,county_month_year,1,2017,Victoria,NA,NA
Temperature,degrees Celsius,0.691,1.077,6048,county_month_year,2,2017,Victoria,NA,NA
Temperature,degrees Celsius,0.293,0.839,6696,county_month_year,3,2017,Victoria,NA,NA
Temperature,degrees Celsius,1.338,1.103,6480,county_month_year,4,2017,Victoria,NA,NA
Temperature,degrees Celsius,4.758,1.383,6696,county_month_year,5,2017,Victoria,NA,NA
Temperature,degrees Celsius,8.647,1.934,6480,county_month_year,6,2017,Victoria,NA,NA
Temperature,degrees Celsius,14.346,2.84,6696,county_month_year,7,2017,Victoria,NA,NA
Temperature,degrees Celsius,17.873,1.795,6696,county_month_year,8,2017,Victoria,NA,NA
Temperature,degrees Celsius,17.887,0.873,6480,county_month_year,9,2017,Victoria,NA,NA
Temperature,degrees Celsius,15.289,1.484,6696,county_month_year,10,2017,Victoria,NA,NA
Temperature,degrees Celsius,10.313,1.89,6480,county_month_year,11,2017,Victoria,NA,NA
Temperature,degrees Celsius,5.638,1.977,6696,county_month_year,12,2017,Victoria,NA,NA
Temperature,degrees Celsius,0.976,0.741,6696,county_month_year,1,2018,Victoria,NA,NA
Temperature,degrees Celsius,-0.086,0.795,6048,county_month_year,2,2018,Victoria,NA,NA
Temperature,degrees Celsius,-0.027,0.831,6696,county_month_year,3,2018,Victoria,NA,NA
Temperature,degrees Celsius,1.211,0.656,6480,county_month_year,4,2018,Victoria,NA,NA
Temperature,degrees Celsius,4.497,1.31,6696,county_month_year,5,2018,Victoria,NA,NA
Temperature,degrees Celsius,8.244,1.265,5040,county_month_year,6,2018,Victoria,NA,NA
Temperature,degrees Celsius,13.24,2.413,3019,county_month_year,7,2018,Victoria,NA,NA
Temperature,degrees Celsius,19.472,2.472,1436,county_month_year,8,2018,Victoria,NA,NA
Temperature,degrees Celsius,4.146,2.799,5652,county_month_year,11,2018,Victoria,NA,NA
Temperature,degrees Celsius,0.989,1.142,5952,county_month_year,12,2018,Victoria,NA,NA
Temperature,degrees Celsius,0.578,0.242,5952,county_month_year,1,2019,Victoria,NA,NA
Temperature,degrees Celsius,0.869,0.398,5376,county_month_year,2,2019,Victoria,NA,NA
Temperature,degrees Celsius,0.871,0.459,5952,county_month_year,3,2019,Victoria,NA,NA
Temperature,degrees Celsius,2.231,0.548,5760,county_month_year,4,2019,Victoria,NA,NA
Temperature,degrees Celsius,5.127,1.289,5952,county_month_year,5,2019,Victoria,NA,NA
Temperature,degrees Celsius,10.182,2.267,5760,county_month_year,6,2019,Victoria,NA,NA
Temperature,degrees Celsius,15.959,2.737,5952,county_month_year,7,2019,Victoria,NA,NA
Temperature,degrees Celsius,20.975,1.29,5952,county_month_year,8,2019,Victoria,NA,NA
Temperature,degrees Celsius,14.797,2.141,5760,county_month_year,9,2019,Victoria,NA,NA
Temperature,degrees Celsius,11.354,0.891,5952,county_month_year,10,2019,Victoria,NA,NA
Temperature,degrees Celsius,6.377,2.218,5760,county_month_year,11,2019,Victoria,NA,NA
Temperature,degrees Celsius,2.308,1.07,5952,county_month_year,12,2019,Victoria,NA,NA
Temperature,degrees Celsius,1.191,0.768,5952,county_month_year,1,2020,Victoria,NA,NA
Temperature,degrees Celsius,1.041,0.65,5568,county_month_year,2,2020,Victoria,NA,NA
Temperature,degrees Celsius,0.923,0.628,5952,county_month_year,3,2020,Victoria,NA,NA
Temperature,degrees Celsius,0.83,0.484,5760,county_month_year,4,2020,Victoria,NA,NA
Temperature,degrees Celsius,5.401,3.247,5952,county_month_year,5,2020,Victoria,NA,NA
Temperature,degrees Celsius,11.579,2.791,5760,county_month_year,6,2020,Victoria,NA,NA
Temperature,degrees Celsius,17.826,1.643,5952,county_month_year,7,2020,Victoria,NA,NA
Temperature,degrees Celsius,20.411,1.826,5952,county_month_year,8,2020,Victoria,NA,NA
Temperature,degrees Celsius,17.555,0.83,1841,county_month_year,9,2020,Victoria,NA,NA
Temperature,degrees Celsius,2.311,0.505,1482,county_month_year,2,2016,Yarmouth,NA,NA
Temperature,degrees Celsius,3.286,0.674,4464,county_month_year,3,2016,Yarmouth,NA,NA
Temperature,degrees Celsius,5.946,1.21,4320,county_month_year,4,2016,Yarmouth,NA,NA
Temperature,degrees Celsius,10.34,1.531,4464,county_month_year,5,2016,Yarmouth,NA,NA
Temperature,degrees Celsius,14.437,1.537,4320,county_month_year,6,2016,Yarmouth,NA,NA
Temperature,degrees Celsius,17.385,1.284,4464,county_month_year,7,2016,Yarmouth,NA,NA
Temperature,degrees Celsius,18.395,0.912,4464,county_month_year,8,2016,Yarmouth,NA,NA
Temperature,degrees Celsius,17.172,1.245,4320,county_month_year,9,2016,Yarmouth,NA,NA
Temperature,degrees Celsius,13.444,0.998,4464,county_month_year,10,2016,Yarmouth,NA,NA
Temperature,degrees Celsius,9.72,1.042,4260,county_month_year,11,2016,Yarmouth,NA,NA
Temperature,degrees Celsius,4.33,2.204,4464,county_month_year,12,2016,Yarmouth,NA,NA
Temperature,degrees Celsius,2.418,0.577,4464,county_month_year,1,2017,Yarmouth,NA,NA
Temperature,degrees Celsius,1.179,0.832,4032,county_month_year,2,2017,Yarmouth,NA,NA
Temperature,degrees Celsius,0.967,0.841,4464,county_month_year,3,2017,Yarmouth,NA,NA
Temperature,degrees Celsius,4.788,1.821,4320,county_month_year,4,2017,Yarmouth,NA,NA
Temperature,degrees Celsius,9.041,1.099,4464,county_month_year,5,2017,Yarmouth,NA,NA
Temperature,degrees Celsius,13.117,1.572,4320,county_month_year,6,2017,Yarmouth,NA,NA
Temperature,degrees Celsius,15.463,1.854,5196,county_month_year,7,2017,Yarmouth,NA,NA
Temperature,degrees Celsius,18.131,2.311,7440,county_month_year,8,2017,Yarmouth,NA,NA
Temperature,degrees Celsius,16.975,1.706,7200,county_month_year,9,2017,Yarmouth,NA,NA
Temperature,degrees Celsius,15.174,0.855,6745,county_month_year,10,2017,Yarmouth,NA,NA
Temperature,degrees Celsius,10.39,2.405,4320,county_month_year,11,2017,Yarmouth,NA,NA
Temperature,degrees Celsius,4.905,1.98,4464,county_month_year,12,2017,Yarmouth,NA,NA
Temperature,degrees Celsius,0.916,0.899,4464,county_month_year,1,2018,Yarmouth,NA,NA
Temperature,degrees Celsius,1.596,0.567,4032,county_month_year,2,2018,Yarmouth,NA,NA
Temperature,degrees Celsius,2.626,0.544,5008,county_month_year,3,2018,Yarmouth,NA,NA
Temperature,degrees Celsius,5.37,1.609,5760,county_month_year,4,2018,Yarmouth,NA,NA
Temperature,degrees Celsius,11.729,2.057,7226,county_month_year,5,2018,Yarmouth,NA,NA
Temperature,degrees Celsius,15.243,2.139,8640,county_month_year,6,2018,Yarmouth,NA,NA
Temperature,degrees Celsius,18.91,2.344,8928,county_month_year,7,2018,Yarmouth,NA,NA
Temperature,degrees Celsius,19.543,2.28,8928,county_month_year,8,2018,Yarmouth,NA,NA
Temperature,degrees Celsius,17.869,1.677,8640,county_month_year,9,2018,Yarmouth,NA,NA
Temperature,degrees Celsius,13.4,2.328,6031,county_month_year,10,2018,Yarmouth,NA,NA
Temperature,degrees Celsius,7.658,2.4,5760,county_month_year,11,2018,Yarmouth,NA,NA
Temperature,degrees Celsius,2.882,1.207,5952,county_month_year,12,2018,Yarmouth,NA,NA
Temperature,degrees Celsius,0.459,0.491,3977,county_month_year,1,2019,Yarmouth,NA,NA
Temperature,degrees Celsius,-0.758,0.466,2688,county_month_year,2,2019,Yarmouth,NA,NA
Temperature,degrees Celsius,0.746,1.629,2976,county_month_year,3,2019,Yarmouth,NA,NA
Temperature,degrees Celsius,5.329,1.365,2880,county_month_year,4,2019,Yarmouth,NA,NA
Temperature,degrees Celsius,8.349,0.889,2976,county_month_year,5,2019,Yarmouth,NA,NA
Temperature,degrees Celsius,10.756,0.774,1361,county_month_year,6,2019,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,108.932,3.388,5293,county_month_year,6,2020,Yarmouth,NA,NA
Salinity,practical salinity units,31.969,0.291,3260,county_month_year,6,2020,Yarmouth,NA,NA
Temperature,degrees Celsius,14.588,2.433,15551,county_month_year,6,2020,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,107.643,4.125,6565,county_month_year,7,2020,Yarmouth,NA,NA
Salinity,practical salinity units,31.651,0.695,8928,county_month_year,7,2020,Yarmouth,NA,NA
Temperature,degrees Celsius,16.216,2.2,43155,county_month_year,7,2020,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,102.862,2.409,864,county_month_year,8,2020,Yarmouth,NA,NA
Salinity,practical salinity units,30.237,1.395,6558,county_month_year,8,2020,Yarmouth,NA,NA
Temperature,degrees Celsius,17.302,1.903,43154,county_month_year,8,2020,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,102.692,3.367,8600,county_month_year,9,2020,Yarmouth,NA,NA
Salinity,practical salinity units,28.762,0.984,6394,county_month_year,9,2020,Yarmouth,NA,NA
Temperature,degrees Celsius,16.011,1.561,35188,county_month_year,9,2020,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,102.36,3.214,8928,county_month_year,10,2020,Yarmouth,NA,NA
Salinity,practical salinity units,25.56,3.44,8928,county_month_year,10,2020,Yarmouth,NA,NA
Temperature,degrees Celsius,13.938,1.436,30506,county_month_year,10,2020,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,102.259,2.999,9837,county_month_year,11,2020,Yarmouth,NA,NA
Salinity,practical salinity units,23.32,4.104,8640,county_month_year,11,2020,Yarmouth,NA,NA
Temperature,degrees Celsius,9.254,1.186,29521,county_month_year,11,2020,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,101.695,2.185,13393,county_month_year,12,2020,Yarmouth,NA,NA
Salinity,practical salinity units,21.432,4.556,8928,county_month_year,12,2020,Yarmouth,NA,NA
Temperature,degrees Celsius,6.634,1.665,30505,county_month_year,12,2020,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,102.622,2.385,13394,county_month_year,1,2021,Yarmouth,NA,NA
Salinity,practical salinity units,20.881,4.609,8928,county_month_year,1,2021,Yarmouth,NA,NA
Temperature,degrees Celsius,3.469,1.028,30506,county_month_year,1,2021,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,104.48,2.809,12097,county_month_year,2,2021,Yarmouth,NA,NA
Salinity,practical salinity units,20.383,4.675,8064,county_month_year,2,2021,Yarmouth,NA,NA
Temperature,degrees Celsius,1.531,0.751,27553,county_month_year,2,2021,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,106.635,4.481,11971,county_month_year,3,2021,Yarmouth,NA,NA
Salinity,practical salinity units,21.368,6.071,8928,county_month_year,3,2021,Yarmouth,NA,NA
Temperature,degrees Celsius,2.16,1.496,30504,county_month_year,3,2021,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,105.677,3.472,6274,county_month_year,4,2021,Yarmouth,NA,NA
Salinity,practical salinity units,20.833,5.81,8640,county_month_year,4,2021,Yarmouth,NA,NA
Temperature,degrees Celsius,6.681,1.535,29522,county_month_year,4,2021,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,103.66,1.682,4463,county_month_year,5,2021,Yarmouth,NA,NA
Salinity,practical salinity units,19.659,5.274,8928,county_month_year,5,2021,Yarmouth,NA,NA
Temperature,degrees Celsius,10.188,1.993,30504,county_month_year,5,2021,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,103.556,1.954,4320,county_month_year,6,2021,Yarmouth,NA,NA
Salinity,practical salinity units,17.605,3.788,8640,county_month_year,6,2021,Yarmouth,NA,NA
Temperature,degrees Celsius,14.462,2.374,29522,county_month_year,6,2021,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,106.107,3.479,12806,county_month_year,7,2021,Yarmouth,NA,NA
Salinity,practical salinity units,28.853,6.012,8629,county_month_year,7,2021,Yarmouth,NA,NA
Temperature,degrees Celsius,15.669,2.097,35287,county_month_year,7,2021,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,104.544,2.912,11026,county_month_year,8,2021,Yarmouth,NA,NA
Salinity,practical salinity units,29.431,1.476,8928,county_month_year,8,2021,Yarmouth,NA,NA
Temperature,degrees Celsius,15.522,1.449,33482,county_month_year,8,2021,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,99.28,2.429,12018,county_month_year,9,2021,Yarmouth,NA,NA
Salinity,practical salinity units,28.788,0.936,8640,county_month_year,9,2021,Yarmouth,NA,NA
Temperature,degrees Celsius,15.098,1.065,32404,county_month_year,9,2021,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,99.182,2.222,9299,county_month_year,10,2021,Yarmouth,NA,NA
Salinity,practical salinity units,28.733,1.204,8928,county_month_year,10,2021,Yarmouth,NA,NA
Temperature,degrees Celsius,14.478,0.707,33482,county_month_year,10,2021,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,97.804,1.177,6626,county_month_year,11,2021,Yarmouth,NA,NA
Salinity,practical salinity units,28.111,1.748,8640,county_month_year,11,2021,Yarmouth,NA,NA
Temperature,degrees Celsius,10.978,1.579,29314,county_month_year,11,2021,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,98.776,1.235,8929,county_month_year,12,2021,Yarmouth,NA,NA
Salinity,practical salinity units,26.066,3.259,8928,county_month_year,12,2021,Yarmouth,NA,NA
Temperature,degrees Celsius,6.288,1.278,29017,county_month_year,12,2021,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,99.053,1.279,8930,county_month_year,1,2022,Yarmouth,NA,NA
Salinity,practical salinity units,23.606,4.103,8928,county_month_year,1,2022,Yarmouth,NA,NA
Temperature,degrees Celsius,2.494,1.471,29018,county_month_year,1,2022,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,101.143,1.427,8065,county_month_year,2,2022,Yarmouth,NA,NA
Salinity,practical salinity units,24.081,3.591,8064,county_month_year,2,2022,Yarmouth,NA,NA
Temperature,degrees Celsius,1.476,0.635,26209,county_month_year,2,2022,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,102.713,1.866,8930,county_month_year,3,2022,Yarmouth,NA,NA
Salinity,practical salinity units,25.447,1.3,8928,county_month_year,3,2022,Yarmouth,NA,NA
Temperature,degrees Celsius,2.801,1.161,29018,county_month_year,3,2022,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,103.971,2.138,4321,county_month_year,4,2022,Yarmouth,NA,NA
Salinity,practical salinity units,26.401,1.364,8640,county_month_year,4,2022,Yarmouth,NA,NA
Temperature,degrees Celsius,5.942,1.079,28081,county_month_year,4,2022,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,105.643,2.411,4466,county_month_year,5,2022,Yarmouth,NA,NA
Salinity,practical salinity units,24.52,1.831,8928,county_month_year,5,2022,Yarmouth,NA,NA
Temperature,degrees Celsius,9.539,1.704,26507,county_month_year,5,2022,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,105.597,2.849,2978,county_month_year,6,2022,Yarmouth,NA,NA
Salinity,practical salinity units,20.163,1.06,5962,county_month_year,6,2022,Yarmouth,NA,NA
Temperature,degrees Celsius,12.724,1.343,17363,county_month_year,6,2022,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,109.432,2.015,744,county_month_depth,1,NA,Annapolis,NA,0
Temperature,degrees Celsius,4.842,1.428,744,county_month_depth,1,NA,Annapolis,NA,0
Dissolved Oxygen,percent saturation,101.478,0.424,4466,county_month_depth,1,NA,Annapolis,NA,1
Temperature,degrees Celsius,5.271,0.963,4466,county_month_depth,1,NA,Annapolis,NA,1
Temperature,degrees Celsius,5.392,1.233,6696,county_month_depth,1,NA,Annapolis,NA,2
Dissolved Oxygen,percent saturation,101.291,0.773,4463,county_month_depth,1,NA,Annapolis,NA,4
Temperature,degrees Celsius,5.495,1.225,8928,county_month_depth,1,NA,Annapolis,NA,4
Temperature,degrees Celsius,5.077,1.111,1488,county_month_depth,1,NA,Annapolis,NA,6
Dissolved Oxygen,percent saturation,111.586,2.326,672,county_month_depth,2,NA,Annapolis,NA,0
Temperature,degrees Celsius,3.856,0.559,672,county_month_depth,2,NA,Annapolis,NA,0
Dissolved Oxygen,percent saturation,102.266,0.594,4033,county_month_depth,2,NA,Annapolis,NA,1
Temperature,degrees Celsius,3.747,0.653,4033,county_month_depth,2,NA,Annapolis,NA,1
Temperature,degrees Celsius,4.062,0.678,6048,county_month_depth,2,NA,Annapolis,NA,2
Dissolved Oxygen,percent saturation,102.293,0.665,4032,county_month_depth,2,NA,Annapolis,NA,4
Temperature,degrees Celsius,4.195,0.647,8066,county_month_depth,2,NA,Annapolis,NA,4
Temperature,degrees Celsius,3.718,0.566,1344,county_month_depth,2,NA,Annapolis,NA,6
Dissolved Oxygen,percent saturation,112.646,2.341,744,county_month_depth,3,NA,Annapolis,NA,0
Temperature,degrees Celsius,4.073,0.659,744,county_month_depth,3,NA,Annapolis,NA,0
Dissolved Oxygen,percent saturation,104.089,1.366,4466,county_month_depth,3,NA,Annapolis,NA,1
Temperature,degrees Celsius,3.496,1.111,4466,county_month_depth,3,NA,Annapolis,NA,1
Temperature,degrees Celsius,3.875,0.818,6696,county_month_depth,3,NA,Annapolis,NA,2
Dissolved Oxygen,percent saturation,104.072,0.866,4464,county_month_depth,3,NA,Annapolis,NA,4
Temperature,degrees Celsius,3.997,0.743,8929,county_month_depth,3,NA,Annapolis,NA,4
Temperature,degrees Celsius,3.446,0.775,1488,county_month_depth,3,NA,Annapolis,NA,6
Dissolved Oxygen,percent saturation,112.67,2.401,720,county_month_depth,4,NA,Annapolis,NA,0
Temperature,degrees Celsius,6.071,0.665,720,county_month_depth,4,NA,Annapolis,NA,0
Dissolved Oxygen,percent saturation,105.46,1.379,4321,county_month_depth,4,NA,Annapolis,NA,1
Temperature,degrees Celsius,6.38,0.788,4321,county_month_depth,4,NA,Annapolis,NA,1
Temperature,degrees Celsius,6.005,0.801,4280,county_month_depth,4,NA,Annapolis,NA,2
Dissolved Oxygen,percent saturation,103.893,0.62,2569,county_month_depth,4,NA,Annapolis,NA,4
Temperature,degrees Celsius,6.093,0.685,8642,county_month_depth,4,NA,Annapolis,NA,4
Temperature,degrees Celsius,5.453,0.684,1440,county_month_depth,4,NA,Annapolis,NA,6
Dissolved Oxygen,percent saturation,113.925,1.673,64,county_month_depth,5,NA,Annapolis,NA,0
Temperature,degrees Celsius,6.702,0.103,64,county_month_depth,5,NA,Annapolis,NA,0
Dissolved Oxygen,percent saturation,105.701,1.647,4465,county_month_depth,5,NA,Annapolis,NA,1
Salinity,practical salinity units,32.053,0.738,2486,county_month_depth,5,NA,Annapolis,NA,1
Temperature,degrees Celsius,9.137,1.284,9436,county_month_depth,5,NA,Annapolis,NA,1
